,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id155,16.05444375,15.21742711,13.99312884,9.113891414,9.331420313,13.72649747,10.34278403,4.677813844,9.320247411,id155,14.60531866,14.53485622,12.50449885,8.212546851,7.797721812,12.98100694,10.27331908,4.132155357,6.547462874,id155,20.41631695,18.9549273,14.7929673,11.12251595,8.455607678,12.58694431,9.995281711,6.056497603,8.726493533
,id156,14.64044906,13.7969205,14.52835722,13.77159467,11.33448846,6.583262262,15.6058593,18.73087786,1.652935156,id156,8.852009523,11.15344473,13.66155783,11.17881149,10.86128331,7.655333813,11.60067531,17.6386677,1.20397083,id156,10.66145376,11.65227854,13.42608381,9.600911183,12.0340482,8.053518225,10.71049065,20.84296668,1.363683365
,id157,17.59588252,17.86332383,15.29003619,16.6363933,16.13577468,13.96217071,16.12869773,22.35764951,19.38372624,id157,10.88035924,14.94059888,12.1241859,13.78586625,15.35481759,10.3755286,11.5771372,15.55135658,10.21826409,id157,16.55193675,12.81122609,12.8168992,15.1170582,12.56664599,12.87565471,12.08360556,22.77422086,13.41169106
,id158,12.17004266,11.74877615,6.767697954,7.963362182,4.396356899,9.379821283,12.51631052,22.43320041,11.29864303,id158,9.487219005,9.271761105,4.798346469,5.886396915,2.074895188,7.231631346,10.44337737,11.09558455,7.946327241,id158,9.109238918,8.714851106,4.476866486,8.300148368,3.33436129,6.392298728,8.998885795,16.21641245,6.828281874
,id159,14.64628117,12.19553322,14.36143039,18.70880021,18.60331667,0.3451104664,18.1095956,16.90978144,3.607854569,id159,16.09848407,11.92984656,11.80521538,15.08323892,15.7115755,0.2746602648,18.40834246,14.19382253,2.591932869,id159,14.30733149,14.10151122,13.15719897,19.55928743,22.58599392,0.3196298681,22.16852221,16.02424488,2.623944352
,id16,13.49602292,11.12883507,6.235233238,1.734745872,0.8092562009,1.897140915,11.0830615,12.60379727,0.4898199466,id16,9.102865724,9.108719953,3.699979225,0.8752325778,0.9001099995,2.131281367,10.31138398,8.170876271,0.3601988908,id16,10.00169347,8.548392938,5.764185979,1.055321015,1.282172666,2.747382911,9.100891338,9.305224185,0.4932839673
,id160,9.263379019,13.17268331,12.79493388,9.10709734,1.49037086,12.5152478,12.93491046,11.61585227,15.59864183,id160,10.71687991,14.51137226,10.81530324,11.31108446,1.057127177,9.007389299,10.08857649,11.13597721,11.62245141,id160,13.15855336,19.21955162,18.22992752,13.981671,1.189751382,13.05794101,17.5172088,13.83070244,25.41425179
,id161,12.16313341,17.22479702,8.755957112,13.09680049,13.88076474,8.26395751,13.9151099,7.8738456,13.6831194,id161,8.881060051,12.67714525,7.611691591,11.77224426,11.59044825,3.953139727,13.14276436,7.104404258,11.20893579,id161,10.31581608,19.74516218,8.133614729,11.86103615,17.03634832,5.4953653,16.69566444,8.887437503,12.27735108
,id162,11.02048026,7.149994407,6.460342964,7.476887486,10.87549184,11.24171224,11.73022773,15.52310822,4.840232373,id162,13.97771007,7.857631462,8.180037666,8.438189199,8.609659843,19.1073196,14.76434862,12.40791389,8.941398575,id162,13.44416755,9.101328119,7.852730019,9.396143744,13.49342355,18.3337066,21.77720904,12.40875003,7.587200666
,id163,15.43201863,12.96860378,9.667088338,11.3927664,8.346780344,0.9063123017,2.177571972,7.994787218,8.175767882,id163,13.02657382,11.33433139,12.50451559,11.66459001,8.469892891,0.7692618136,2.118063083,9.837048774,10.59326614,id163,20.11623079,15.8320402,17.04886864,14.59191592,9.256534183,1.160108657,2.824451467,10.58403686,11.34719386
,id164,9.501427586,7.611060595,16.11664746,11.19034348,6.448316367,14.65079404,3.865270196,14.56132602,12.46928902,id164,5.648579464,3.951543059,13.91923925,9.797638095,5.492186373,10.48290837,2.873897879,12.01038869,9.217471161,id164,7.273595434,3.560508052,18.48058957,9.832705239,4.777987837,10.54429765,3.705055854,15.30056853,9.83310968
,id165,19.86851393,25.04114413,0.7100620423,10.08196162,13.25197846,14.41209464,1.452091943,18.23734671,13.83383983,id165,16.9998522,15.99755649,2.268392391,8.771998276,9.593105271,11.13772353,1.936378543,11.17392647,13.55756251,id165,26.69795037,28.53567942,3.265089513,13.60710116,13.8623652,20.12124474,2.565074133,25.25967465,16.24120268
,id166,18.01763206,2.171804838,10.40431806,3.281525796,17.0415008,0.632503025,1.340207717,2.247230886,6.12386138,id166,10.88439109,4.337307714,8.894776221,3.66474572,12.89943685,1.035732961,0.6007298018,4.730082414,2.061429671,id166,14.49956026,4.768824956,11.1075202,4.789447703,18.62429028,1.477431137,0.4039610368,6.728135139,4.745243305
,id167,16.93440471,12.73291067,12.02866421,13.72979981,12.09334103,17.03228477,21.42021831,7.716766007,10.5908109,id167,10.47402265,11.35903621,9.307701914,9.566380999,10.4512254,15.73379439,18.48473595,4.42097598,6.664729003,id167,14.59766985,8.447813348,8.02907668,13.17818725,11.44257164,10.73388204,15.99735093,4.937860102,11.34364061
,id168,19.29677054,20.56891984,15.28580981,13.39182182,16.73533153,22.99327399,14.63907309,20.86286523,16.40945912,id168,12.33075048,15.64509969,14.66094538,12.00292409,15.94025087,19.28965503,11.89925939,17.91332382,19.31730516,id168,23.02134875,27.52288311,17.51822711,14.46713463,26.86852773,29.45278933,19.76231425,26.42645215,24.9536108
,id169,16.56039065,15.04125459,8.025938506,12.76006618,9.050016316,3.330627538,3.007197286,3.520432349,6.990819411,id169,11.28411107,10.94281303,8.578742598,9.26709112,7.893227666,4.455208003,3.49209744,3.04671716,5.063211215,id169,15.42461661,18.65991995,9.115867693,21.15945443,12.06670011,9.475570878,4.722786018,6.838729544,8.845892328
